STUDENTID,pred,data_length
2333116732,0.7379166666666666,20m
2333116775,0.55,30m
2333116881,0.4922916666666668,20m
2333117372,0.7425,30m
2333117771,0.6275,10m
2333118182,0.6675000000000003,20m
2333118361,0.37208333333333343,20m
2333119561,0.71,30m
2333120012,0.82,10m
2333120667,0.7220833333333337,20m
2333121167,0.55,10m
2333121329,0.4925,30m
2333121426,0.7275,30m
2333122163,0.615,30m
2333124697,0.7395833333333333,20m
2333125006,0.5158333333333335,20m
2333125162,0.47,30m
2333125448,0.7525,20m
2333125782,0.62,10m
2333126037,0.65375,20m
2333126193,0.4475,30m
2333126291,0.79,10m
2333126703,0.7175,30m
2333127335,0.7875,30m
2333127831,0.35,10m
2333127891,0.5120833333333334,20m
2333128081,0.7458333333333332,20m
2333128501,0.735,10m
2333128838,0.7575,10m
2333129028,0.465,10m
2333129087,0.6858333333333334,20m
2333129125,0.61,10m
2333129273,0.7075,30m
2333129443,0.485,10m
2333129621,0.3475,10m
2333129699,0.6245833333333333,20m
2333129974,0.595,30m
2333130191,0.535,10m
2333130531,0.48,10m
2333130557,0.8,30m
2333131065,0.62,30m
2333131669,0.621875,20m
2333132231,0.81,30m
2333132762,0.7,20m
2333132924,0.6254166666666664,20m
2333133211,0.565,10m
2333134307,0.5425,30m
2333135150,0.6575,30m
2333135729,0.568125,20m
2333135753,0.7162499999999998,20m
2333135826,0.635,10m
2333135915,0.7325,30m
2333136008,0.69,10m
2333136253,0.48,10m
2333136342,0.6525,10m
2333136415,0.4525,30m
2333136563,0.7975,30m
2333136865,0.7172916666666669,20m
2333137055,0.695,30m
2333137268,0.21541666666666667,20m
2333137705,0.5654166666666669,20m
2333138043,0.5275,10m
2333138205,0.5322916666666668,20m
2333138736,0.7075,30m
2333138809,0.6804166666666666,20m
2333138892,0.6666666666666665,20m
2333139066,0.4700000000000002,20m
2333139392,0.4610416666666666,20m
2333139490,0.7066666666666664,20m
2333140943,0.5262500000000001,20m
2333141044,0.6875,10m
2333141192,0.505,10m
2333141621,0.7487500000000001,20m
2333142130,0.7037500000000001,20m
2333142296,0.5845833333333332,20m
2333142733,0.4275,10m
2333142741,0.74,30m
2333142903,0.6629166666666664,20m
2333143845,0.14,10m
2333143934,0.5968750000000002,20m
2333144264,0.62375,20m
2333144931,0.2375,30m
2333145023,0.6495833333333336,20m
2333145121,0.744583333333333,20m
2333145384,0.2704166666666668,20m
2333145538,0.5529166666666665,20m
2333145686,0.6175,30m
2333147484,0.875,30m
2333147611,0.7250000000000001,20m
2333148421,0.6483333333333334,20m
2333148766,0.7975,30m
2333149274,0.5225,30m
2333149363,0.435,10m
2333150728,0.6975,10m
2333151414,0.56,30m
2333151660,0.41124999999999984,20m
2333151856,0.5325,10m
2333152011,0.4275,10m
2333152101,0.15208333333333335,20m
2333152267,0.6074999999999998,20m
2333152291,0.6270833333333333,20m
2333152798,0.5675,30m
2333153131,0.7458333333333335,20m
2333153204,0.6225,10m
2333153492,0.5475,10m
2333153891,0.47666666666666674,20m
2333154243,0.5575000000000001,20m
2333154308,0.7616666666666668,20m
2333154740,0.7325,10m
2333154839,0.6725,10m
2333156530,0.1525,30m
2333157048,0.6054166666666668,20m
2333157056,0.2725,20m
2333157072,0.6837500000000002,20m
2333157471,0.045,10m
2333157927,0.6525,10m
2333158672,0.775,10m
2333158681,0.085,30m
2333159334,0.3825,30m
2333159377,0.5825,10m
2333159423,0.7225,30m
2333159580,0.065,30m
2333159938,0.7291666666666669,20m
2333160111,0.7070833333333337,20m
2333160367,0.83,10m
2333160529,0.4775,10m
2333160685,0.54,10m
2333161371,0.6275,10m
2333161410,0.6820833333333334,20m
2333161827,0.86,10m
2333161886,0.7079166666666665,20m
2333162017,0.775,30m
2333162823,0.5974999999999998,20m
2333163102,0.52,10m
2333165211,0.3787500000000003,20m
2333166250,0.44,10m
2333166411,0.6375,30m
2333166594,0.4625,10m
2333166845,0.8408333333333331,20m
2333167094,0.1775,30m
2333167167,0.5875,10m
2333167531,0.48,10m
2333167949,0.73,30m
2333168635,0.53,10m
2333169046,0.6700000000000002,20m
2333169747,0.4075,10m
2333169895,0.6025,10m
2333169992,0.67,10m
2333170648,0.6349999999999999,20m
2333170672,0.8175,30m
2333171024,0.5075,30m
2333171091,0.6737499999999998,20m
2333171873,0.8604166666666667,20m
2333171946,0.5925,30m
2333172799,0.84,10m
2333174082,0.5635416666666667,20m
2333174864,0.625,20m
2333175275,0.8062500000000001,20m
2333175615,0.61,10m
2333175771,0.31083333333333335,20m
2333176476,0.7120833333333332,20m
2333176620,0.8275,10m
2333177570,0.7275,10m
2333177758,0.7575,30m
2333178266,0.885,30m
2333178347,0.747083333333333,20m
2333178428,0.465,10m
2333178673,0.6695833333333334,20m
2333178851,0.5483333333333333,20m
2333179041,0.825,30m
2333179114,0.6025,30m
2333179521,0.785,30m
2333179700,0.5525,10m
2333179874,0.7075,10m
2333180147,0.285,30m
2333180392,0.85,10m
2333181208,0.8225,10m
2333181658,0.6,10m
2333181844,0.449375,20m
2333182344,0.545,10m
2333182433,0.6887500000000002,20m
2333182514,0.6075,30m
2333183031,0.5154166666666667,20m
2333183201,0.725,30m
2333183359,0.8,10m
2333183545,0.4027083333333333,20m
2333183707,0.6566666666666667,20m
2333184037,0.4125,30m
2333184134,0.8041666666666666,20m
2333184207,0.5475,10m
2333184487,0.695,30m
2333184827,0.8095833333333331,20m
2333185157,0.5475,30m
2333185581,0.7575,30m
2333186277,0.7125,30m
2333186480,0.705,10m
2333186781,0.58,30m
2333187621,0.5787499999999999,20m
2333188636,0.6299999999999999,20m
2333188725,0.5662499999999998,20m
2333188822,0.51,30m
2333189012,0.5245833333333332,20m
2333189161,0.735,10m
2333189675,0.5649999999999998,20m
2333189764,0.785,30m
2333190011,0.40541666666666665,20m
2333190088,0.23999999999999994,20m
2333190517,0.8087500000000003,20m
2333190614,0.64,30m
2333190703,0.8325,30m
2333190771,0.55,10m
2333190860,0.62,10m
2333191211,0.7333333333333336,20m
2333191378,0.7275,30m
2333192251,0.6539583333333334,20m
2333192650,0.8031249999999999,20m
2333192749,0.32166666666666666,20m
2333192854,0.555,10m
2333193605,0.5633333333333332,20m
2333194768,0.8525,10m
2333195454,0.37499999999999994,20m
2333195462,0.7329166666666665,20m
2333195471,0.8275,30m
2333195497,0.175,30m
2333195551,0.5675,10m
2333195608,0.5412500000000001,20m
2333196051,0.465,10m
2333196141,0.695,10m
2333196744,0.7425,10m
2333196906,0.76,10m
2333197341,0.7529166666666667,20m
2333197406,0.66375,20m
2333198020,0.47,30m
2333198046,0.5822916666666668,20m
2333198194,0.5375,10m
2333198542,0.7966666666666667,20m
2333199727,0.6575,10m
2333200148,0.5525,30m
2333200733,0.7725,30m
2333201373,0.7425,30m
2333201683,0.7983333333333333,20m
2333202027,0.1225,10m
2333202183,0.37208333333333327,20m
2333202523,0.635,10m
2333202710,0.6825,10m
2333203121,0.85,10m
2333204071,0.545,30m
2333204160,0.275,10m
2333204411,0.67,30m
2333204518,0.6625,10m
2333204755,0.6637500000000002,20m
2333204917,0.575,10m
2333205026,0.7495833333333332,20m
2333205166,0.614375,20m
2333205514,0.7875,30m
2333205611,0.2625,10m
2333205778,0.5425,10m
2333205816,0.7675,30m
2333206308,0.6633333333333333,20m
2333206618,0.4825,10m
2333206651,0.2475,30m
2333206715,0.6339583333333334,20m
2333206723,0.4925,10m
2333207053,0.48666666666666664,20m
2333207304,0.845,30m
2333207746,0.565,10m
2333207801,0.4725,30m
2333207843,0.6845833333333333,20m
2333208459,0.6375,30m
2333208696,0.6520833333333335,20m
2333209102,0.575,10m
2333209111,0.17750000000000005,20m
2333209161,0.3625,30m
2333210381,0.775,30m
2333210551,0.6208333333333331,20m
2333210631,0.73375,20m
2333210704,0.745,30m
2333210801,0.5925,30m
2333210984,0.36,10m
2333211051,0.83,10m
2333211140,0.5175,20m
2333211336,0.705,10m
2333211581,0.7025,30m
2333211832,0.8075,10m
2333211999,0.5,30m
2333212081,0.7237499999999999,20m
2333212537,0.47,10m
2333212685,0.8016666666666667,20m
2333213037,0.6825,30m
2333213045,0.525,30m
2333213185,0.5975,10m
2333213444,0.7725000000000002,20m
2333213592,0.6325,10m
2333213789,0.5545833333333332,20m
2333213797,0.7575,10m
2333213878,0.4825,10m
2333214122,0.54,30m
2333214220,0.6325,20m
2333214289,0.32479166666666665,20m
2333214386,0.7175,30m
2333215064,0.7674999999999998,20m
2333215137,0.6425000000000002,20m
2333215170,0.1775,10m
2333215773,0.54,30m
2333215986,0.4775,10m
2333216265,0.5025,30m
2333216273,0.56,10m
2333216869,0.63,10m
2333217113,0.7125,10m
2333217369,0.62,10m
2333217466,0.675,10m
2333218471,0.7627083333333335,20m
2333218721,0.6616666666666668,20m
2333219230,0.5075,10m
2333219663,0.4175,10m
2333219752,0.4575,30m
2333220017,0.68,20m
2333220459,0.7266666666666666,20m
2333220751,0.7775,30m
2333220921,0.69,10m
2333221056,0.495,10m
2333221111,0.2625,10m
2333221625,0.5675,30m
2333221790,0.4925,10m
2333222249,0.595,10m
2333222397,0.7191666666666666,20m
2333222460,0.7475,10m
2333222567,0.5975,30m
2333223067,0.6954166666666667,20m
2333223245,0.7275,10m
2333223652,0.7145833333333336,20m
2333223695,0.4975,10m
2333224942,0.5425,30m
2333224951,0.6300000000000001,20m
2333225108,0.8495833333333331,20m
2333225132,0.6,30m
2333225299,0.67,30m
2333225469,0.8325,30m
2333225701,0.7525,30m
2333225710,0.6225,30m
2333225841,0.6933333333333332,20m
2333225884,0.70125,20m
2333226295,0.93,30m
2333226392,0.575,10m
2333226821,0.5083333333333333,20m
2333227232,0.5329166666666668,20m
2333227534,0.6375,30m
2333228085,0.5466666666666665,20m
2333228379,0.61,10m
2333228590,0.92,30m
2333229031,0.525,30m
2333229120,0.6825,30m
2333229537,0.155,30m
2333229685,0.7220833333333334,20m
2333229791,0.6375,30m
2333229871,0.5675,10m
2333229979,0.725,30m
2333230578,0.57,10m
2333231418,0.63,30m
2333232210,0.48,10m
2333233127,0.6054166666666667,20m
2333233631,0.475,30m
2333233968,0.7025,10m
2333234123,0.4425,10m
2333234476,0.5708333333333332,20m
2333234859,0.2425,30m
2333235456,0.4025,10m
2333235502,0.5175,10m
2333236100,0.69,30m
2333236541,0.5075,10m
2333236606,0.5225,10m
2333237645,0.445,10m
2333237891,0.4325,30m
2333237963,0.6475,10m
2333238099,0.565,30m
2333238242,0.7675,20m
2333238838,0.5145833333333333,20m
2333238919,0.7425,20m
2333239249,0.53,30m
2333239508,0.5075,10m
2333240247,0.57,10m
2333240549,0.1,10m
2333241472,0.485,30m
2333242398,0.5125,10m
2333242584,0.875,30m
2333242771,0.6716666666666667,20m
2333243084,0.7225,30m
2333243432,0.7912500000000005,20m
2333243777,0.49,30m
2333243840,0.5525,30m
2333243866,0.75625,20m
2333244081,0.185,10m
2333244196,0.635,10m
2333244463,0.82,30m
2333244722,0.57,10m
2333245036,0.2075,30m
2333245133,0.875,30m
2333245214,0.63,10m
2333245222,0.7391666666666669,20m
2333245320,0.2325,10m
2333245338,0.66,30m
2333245427,0.5045833333333334,20m
2333245672,0.64,30m
2333245711,0.6791666666666667,20m
2333245737,0.72,20m
2333245923,0.5725,10m
2333245974,0.62,10m
2333246415,0.7925,30m
2333246661,0.795,30m
2333246768,0.6225,10m
2333247527,0.8174999999999999,20m
2333248051,0.6875,10m
2333248116,0.5475,10m
2333248221,0.4725,10m
2333248523,0.6925,10m
2333248612,0.74,30m
2333248710,0.79,10m
2333248809,0.805,30m
2333249392,0.535,30m
2333249741,0.535,30m
2333249813,0.5275,30m
2333249996,0.2475,30m
2333252253,0.65,30m
2333252806,0.5916666666666668,20m
2333252954,0.7385416666666669,20m
2333253144,0.63,30m
2333254647,0.6479166666666668,20m
2333254680,0.29541666666666666,20m
2333254698,0.6275,10m
2333255104,0.6025,10m
2333255201,0.5424999999999999,20m
2333256381,0.6975,30m
2333256399,0.31958333333333344,20m
2333256445,0.4975,30m
2333256631,0.62,10m
2333256721,0.7075,30m
2333256976,0.7016666666666669,20m
2333257760,0.505,10m
2333258081,0.5437500000000001,20m
2333258774,0.5425,10m
2333260655,0.7695833333333333,20m
2333260981,0.84,30m
2333261503,0.545,10m
2333261601,0.5441666666666667,20m
2333262267,0.73,10m
2333262429,0.5625,10m
2333262453,0.66,10m
2333262852,0.87,30m
2333263204,0.63,10m
2333263794,0.61625,20m
2333264049,0.6264583333333335,20m
2333264898,0.79375,20m
2333265207,0.6795833333333334,20m
2333265754,0.6941666666666667,20m
2333266181,0.12,10m
2333266262,0.29020833333333335,20m
2333266343,0.69,10m
2333266599,0.7375,10m
2333266891,0.68,20m
2333267102,0.7262500000000002,20m
2333267200,0.475,10m
2333267358,0.3308333333333333,20m
2333267731,0.71,30m
2333267889,0.78,10m
2333268044,0.29291666666666666,20m
2333268206,0.755,10m
2333268486,0.3575,10m
2333269237,0.18333333333333335,20m
2333269334,0.685,30m
2333269580,0.82,10m
2333271371,0.3475000000000001,20m
2333271878,0.6425,10m
2333272131,0.46,30m
2333272238,0.7533333333333335,20m
2333272386,0.6345833333333333,20m
2333272645,0.5304166666666665,20m
2333272726,0.72625,20m
2333272823,0.7475,30m
2333273269,0.5275,10m
2333273421,0.5570833333333332,20m
2333273510,0.6075,30m
2333274109,0.6591666666666666,20m
2333274184,0.72,10m
2333275270,0.74,10m
2333275717,0.7429166666666667,20m
2333275806,0.6625000000000001,20m
2333275962,0.7775,10m
2333276063,0.7433333333333333,20m
2333276403,0.18,10m
2333277515,0.7479166666666667,20m
2333277604,0.87,30m
2333277663,0.7883333333333331,20m
2333278279,0.55625,20m
2333278546,0.5900000000000002,20m
2333279909,0.695,10m
2333280150,0.3104166666666666,20m
2333280834,0.735,10m
2333280907,0.6783333333333336,20m
2333280991,0.5,10m
2333281083,0.525,30m
2333281181,0.6108333333333332,20m
2333281342,0.5308333333333333,20m
2333281504,0.7525,30m
2333281946,0.46,30m
2333282136,0.125,30m
2333282535,0.3483333333333334,20m
2333282691,0.595,30m
2333282888,0.7275,10m
2333283221,0.4,30m
2333283736,0.235,30m
2333283825,0.4925,10m
2333283884,0.7458333333333332,20m
2333284775,0.4825,30m
2333288720,0.47,10m
2333288754,0.8225,10m
2333289106,0.4283333333333333,20m
2333289173,0.8,30m
2333289424,0.5756249999999999,20m
2333290520,0.7754166666666668,20m
2333290716,0.45833333333333337,20m
2333291224,0.615,10m
2333291411,0.49354166666666666,20m
2333291551,0.5204166666666669,20m
2333291747,0.7675,30m
2333292000,0.6,10m
2333292069,0.835,30m
2333292590,0.18583333333333332,20m
2333292671,0.3175,10m
2333293103,0.58,10m
2333293162,0.655,10m
2333295581,0.5825,30m
2333295807,0.7429166666666667,20m
2333295998,0.675,30m
2333296013,0.6,30m
2333296081,0.3475,30m
2333296170,0.5062500000000001,20m
2333296242,0.7887500000000003,20m
2333296331,0.2325,10m
2333296404,0.595625,20m
2333296447,0.6279166666666668,20m
2333296501,0.655,30m
2333296757,0.5525,30m
2333296781,0.73,10m
2333297095,0.5525,10m
2333297109,0.55,10m
2333297443,0.295,30m
2333297621,0.505,10m
2333297788,0.52,10m
2333297885,0.76375,20m
2333298474,0.7345833333333335,20m
2333298636,0.6720833333333333,20m
2333299471,0.5075,10m
2333299641,0.8975,30m
2333299837,0.44,10m
2333299926,0.8075,30m
2333300177,0.385,10m
2333300231,0.6725,10m
2333300428,0.8975,10m
2333300584,0.7083333333333331,20m
2333300762,0.47,10m
2333301181,0.619166666666667,20m
2333301289,0.6925,30m
2333301432,0.305,10m
2333302218,0.735,30m
2333302412,0.7325,30m
2333302561,0.6,10m
2333302811,0.5670833333333334,20m
2333303125,0.26,30m
2333303826,0.525,10m
2333304423,0.39,10m
2333304563,0.4741666666666666,20m
2333304601,0.6125,10m
2333305110,0.6475,10m
2333305705,0.755,30m
2333306981,0.3125,30m
2333307848,0.5975,30m
2333308160,0.7895833333333335,20m
2333308259,0.5375,30m
2333308780,0.7364583333333334,20m
2333309191,0.6112500000000001,20m
2333309719,0.4675,30m
2333309735,0.6616666666666668,20m
2333309808,0.735,10m
2333309891,0.725,10m
2333310415,0.5729166666666667,20m
2333310652,0.6125,10m
2333310903,0.32,30m
2333311233,0.7025,10m
2333311748,0.4375,30m
2333312086,0.4325,30m
2333312841,0.5925,30m
2333313139,0.76,30m
2333313538,0.6975,30m
2333313970,0.5075,30m
2333314429,0.6666666666666665,20m
2333314917,0.2858333333333334,20m
2333314984,0.62,10m
2333315077,0.5633333333333334,20m
2333315484,0.465,30m
2333315832,0.5033333333333334,20m
2333316189,0.495,30m
2333316219,0.2225,30m
2333316367,0.7116666666666666,20m
2333316618,0.7358333333333335,20m
2333316863,0.4875,30m
2333317304,0.6925,30m
2333317801,0.7241666666666667,20m
2333317908,0.44,10m
2333317967,0.7766666666666667,20m
2333318572,0.6375,30m
2333319153,0.6825,10m
2333319412,0.61875,20m
2333321204,0.7179166666666669,20m
2333321387,0.7766666666666666,20m
2333321492,0.6362500000000001,20m
2333321905,0.7125,30m
2333321999,0.7725,30m
2333322006,0.5129166666666669,20m
2333322561,0.5475,30m
2333322995,0.6175,30m
2333323011,0.7179166666666665,20m
2333323240,0.6712499999999999,20m
2333323291,0.82,30m
2333323436,0.5964583333333331,20m
