,pred,truth,fold,leaf_size,STUDENTID,label,sec_spent_BlockRev,sec_spent_EOSTimeLft,sec_spent_VH098519,sec_spent_VH098522,sec_spent_VH098556,sec_spent_VH098597,sec_spent_VH098740,sec_spent_VH098753,sec_spent_VH098759,sec_spent_VH098779,sec_spent_VH098783,sec_spent_VH098808,sec_spent_VH098810,sec_spent_VH098812,sec_spent_VH098834,sec_spent_VH098839,sec_spent_VH134366,sec_spent_VH134373,sec_spent_VH134387,sec_spent_VH139047,sec_spent_VH139196,sec_spent_VH356862,times_entered_BlockRev,times_entered_EOSTimeLft,times_entered_VH098519,times_entered_VH098522,times_entered_VH098556,times_entered_VH098597,times_entered_VH098740,times_entered_VH098753,times_entered_VH098759,times_entered_VH098779,times_entered_VH098783,times_entered_VH098808,times_entered_VH098810,times_entered_VH098812,times_entered_VH098834,times_entered_VH098839,times_entered_VH134366,times_entered_VH134373,times_entered_VH134387,times_entered_VH139047,times_entered_VH139196,times_entered_VH356862,num_actions_BlockRev,num_actions_EOSTimeLft,num_actions_VH098519,num_actions_VH098522,num_actions_VH098556,num_actions_VH098597,num_actions_VH098740,num_actions_VH098753,num_actions_VH098759,num_actions_VH098779,num_actions_VH098783,num_actions_VH098808,num_actions_VH098810,num_actions_VH098812,num_actions_VH098834,num_actions_VH098839,num_actions_VH134366,num_actions_VH134373,num_actions_VH134387,num_actions_VH139047,num_actions_VH139196,num_actions_VH356862,count_Calculator Buffer,count_Click Choice,count_Click Progress Navigator,count_DropChoice,count_Eliminate Choice,count_Enter Item,count_Lose Focus,count_Math Keypress,count_Move Calculator,count_Next,count_Open Calculator,count_Receive Focus,count_Vertical Item Scroll,percentile5_BlockRev,percentile5_EOSTimeLft,percentile5_VH098519,percentile5_VH098522,percentile5_VH098556,percentile5_VH098597,percentile5_VH098740,percentile5_VH098753,percentile5_VH098759,percentile5_VH098779,percentile5_VH098783,percentile5_VH098808,percentile5_VH098810,percentile5_VH098812,percentile5_VH098834,percentile5_VH098839,percentile5_VH134366,percentile5_VH134373,percentile5_VH134387,percentile5_VH139047,percentile5_VH139196,percentile5_VH356862,percentile5_vh_count,sec_spent_std,poly_delta_sec_deg0_coeff0,poly_delta_sec_deg1_coeff0,poly_delta_sec_deg1_coeff1,poly_delta_sec_deg2_coeff0,poly_delta_sec_deg2_coeff1,poly_delta_sec_deg2_coeff2,poly_delta_sec_deg3_coeff0,poly_delta_sec_deg3_coeff1,poly_delta_sec_deg3_coeff2,poly_delta_sec_deg3_coeff3,poly_per_item_sec_deg0_coeff0,poly_per_item_sec_deg1_coeff0,poly_per_item_sec_deg1_coeff1,poly_per_item_sec_deg2_coeff0,poly_per_item_sec_deg2_coeff1,poly_per_item_sec_deg2_coeff2,poly_per_item_sec_deg3_coeff0,poly_per_item_sec_deg3_coeff1,poly_per_item_sec_deg3_coeff2,poly_per_item_sec_deg3_coeff3,answer_rank_VH098808,"answer_rank_VH139196_C,1",answer_rank_VH098810,answer_rank_VH134366_5,answer_rank_VH134366_2,answer_rank_VH134366_3,answer_rank_VH098779,"answer_rank_VH139196_B,1",answer_rank_VH139047_3,answer_rank_VH098839,answer_rank_VH134366_4,answer_rank_VH098812,answer_rank_VH098759,answer_rank_VH139047_4,answer_rank_VH134373_1,answer_rank_VH134387_1,answer_rank_VH098834,answer_rank_VH098783,answer_rank_VH098556,answer_rank_VH098519,answer_rank_VH134366_1,answer_rank_VH098597,answer_rank_VH139047_1,answer_rank_VH098522,"answer_rank_VH139196_A,1",answer_rank_VH098740,answer_rank_VH139047_2,answer_rank_VH098753,answer_count_top1,answer_count_top2,answer_count_top3,answer_count_top4,answer_count_top5,answer_count_unanswered,count_Draw,count_Erase,count_Scratchwork Draw Mode On,count_Scratchwork Erase Mode On,count_Scratchwork Mode Off,count_Scratchwork Mode On,count_Equation Editor Button,count_Clear Scratchwork,count_Highlight,count_TextToSpeech,sec_spent_SecTimeOut,times_entered_SecTimeOut,num_actions_SecTimeOut,percentile5_SecTimeOut,sec_spent_HELPMAT8,times_entered_HELPMAT8,num_actions_HELPMAT8,percentile5_HELPMAT8
194,1.0,True,1,8,2333031630,1.0,4.466,5.097,42.77,95.48,49.52,35.997,47.437,78.819,52.383,24.826,463.937,11.313,20.654,54.023,67.684,49.513,84.217,167.347,53.76,45.937,119.787,4.283,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,3.0,2.0,3.0,41.0,3.0,3.0,3.0,6.0,3.0,5.0,77.0,3.0,5.0,3.0,5.0,3.0,38.0,35.0,6.0,6.0,67.0,2,4.0,19.0,2.0,4.0,2.0,25,33.0,25.0,4.0,20.0,4.0,37.0,12.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,21,93.76130795652868,4.9045031055900585,-0.00664839357758117,5.971570274791838,-2.9801733379441876e-05,0.0029179628372196925,5.461364599335793,-1.316296578555752e-06,0.0006039950691951534,-0.07833505051215921,7.61796385289628,72.06813636363637,1.6672586109542655,54.561920948616546,-0.6673998447204973,15.682655350084715,7.8439318181817965,0.010366316482906793,-0.9939388139320612,18.362348160916117,3.707771541502002,3,1000,2,1,1,1,2,4,1,4,1,2,3,1,1000,8,1,1,3,5,1,1,1,3,1000,2,1,1,13,17,21,23,24,3,62.0,20.0,6.0,7.0,2.0,2.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
195,0.6666666666666666,False,2,7,2333031729,0.0,0.0,0.0,88.8,0.0,0.0,0.0,56.917,137.8,185.203,0.0,59.984,125.92,52.194,81.02,0.0,0.0,421.787,58.25,143.706,167.573,220.79,9.823,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1,0.0,0.0,7.0,0.0,0.0,0.0,6.0,9.0,6.0,0.0,6.0,8.0,10.0,3.0,0.0,0.0,169.0,2.0,9.0,14.0,11.0,2,8.0,12.0,1.0,8.0,0.0,16,11.0,29.0,6.0,12.0,8.0,11.0,15.0,0,0,True,0,0,0,True,True,True,0,True,True,True,True,0,0,True,True,True,True,True,True,15,100.29106551610444,6.901401515151521,0.0015504033809651296,6.697523470554599,0.001005853722199072,-0.26298912555739073,18.249082900862803,5.524820243255516e-06,-0.0011736878637652309,-0.03413615406709009,13.281035809815767,120.90260000000004,5.77795357142857,80.45692499999996,-1.7981686328377495,30.95231443115708,25.91247647058813,-0.2352465434891904,3.142008780435242,4.2283070907851075,51.60139901960775,1,1000,2,7,3,4,1000,1000,1,1000,6,2,2,1,1000,27,1000,4,1000,1,4,1000,1,1000,1000,1,1,3,7,10,12,15,15,10,72.0,21.0,3.0,2.0,6.0,6.0,2.0,3.0,0.0,3.0,12.203,1.0,2.0,True,0.0,0.0,0.0,0
202,0.0,True,0,8,2333032644,1.0,6.849,7.344,227.177,72.1,37.233,55.174,34.58,175.944,268.13,35.743,34.393,49.347,25.496,62.44,14.087,48.633,73.88,127.59,41.71,158.806,117.34,4.47,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7.0,2.0,89.0,54.0,7.0,4.0,3.0,18.0,68.0,4.0,6.0,19.0,3.0,4.0,3.0,5.0,37.0,14.0,12.0,43.0,64.0,2,12.0,15.0,4.0,38.0,0.0,27,24.0,42.0,23.0,20.0,12.0,25.0,15.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,22,71.29366558876492,3.586465811965816,0.0007380436687541472,3.4141326153117193,-2.439867153439527e-05,0.012132223275316717,2.5291846658686925,-4.0908180355396864e-07,0.0002621631318551598,-0.04134029105353497,4.599020571751446,94.82813636363635,-3.2210711462450576,128.64938339920943,0.1258729531338235,-5.864403162055355,137.4604901185772,0.040430906317176434,-1.147700595857235,4.5869861209347835,121.32855849802367,2,2,1,1,1,3,3,1000,1,5,1,2,4,1,25,7,3,3,3,1,1,1,1,4,3,1,1,3,12,15,22,24,25,1,158.0,0.0,1.0,0.0,7.0,9.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
206,1.0,True,1,19,2333032911,1.0,26.314,13.023,62.676,48.097,13.44,30.183,54.163,21.233,37.504,22.05,166.278,180.888,35.23,99.588,86.193,66.054,94.93,225.127,76.281,225.056,211.572,32.597,2.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,5.0,3.0,2.0,5.0,1.0,1.0,2.0,3.0,4.0,2.0,5.0,1,2.0,2.0,7.0,4.0,3.0,3.0,7.0,9.0,7.0,4.0,16.0,15.0,6.0,13.0,3.0,4.0,43.0,23.0,11.0,14.0,82.0,2,7.0,17.0,11.0,4.0,2.0,52,26.0,38.0,9.0,33.0,7.0,29.0,12.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,23,70.09674854239319,6.493180851063821,-0.02023851335930916,9.336691978046765,0.0002695701242454094,-0.09598771827226919,12.8716548739849,-5.412589710830615e-06,0.002550976687360516,-0.35196261717172683,18.812437564336673,693.19147826087,21.910383399209486,452.1772608695652,-5.791411518915875,149.32143681535874,6.238573913042951,0.010628417958852134,-6.142149311557983,152.33990751567245,1.3282448160545277,1,1000,1,1,1,18,1,3,1,4,1,4,2,1,4,18,5,3,2,3,1,1,1,1,1000,1,1,2,14,17,20,23,24,2,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.6,1.0,2.0,True,0.0,0.0,0.0,0
207,0.0,False,3,9,2333032997,0.0,5.453,2.307,43.27,20.824,19.76,37.883,12.35,151.414,121.223,20.56,127.416,395.513,20.344,51.697,3.876,33.933,333.5,156.064,28.443,106.07,62.85,4.446,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1,4.0,2.0,3.0,9.0,6.0,6.0,11.0,21.0,3.0,10.0,7.0,53.0,3.0,5.0,5.0,6.0,66.0,23.0,36.0,10.0,17.0,2,7.0,44.0,1.0,4.0,42.0,37,14.0,89.0,5.0,32.0,7.0,14.0,5.0,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,20,102.29589242652337,5.711675324675325,-0.027398790545654996,9.917389673433362,-4.9771016810221226e-05,-0.012119088384917027,9.138124863235722,-3.414055285264029e-06,0.0015224014420538647,-0.20486811465271118,14.02915338276191,182.93913636363638,12.436019762845854,52.360928853754906,-1.2926525974025989,39.58172430830044,-38.12475296442694,-0.17900649746896846,4.346052072869908,-6.691455287427942,33.29883952569141,1,1000,1,7,3,4,4,1,1,3,21,5,2,1,1,3,1,1,4,4,4,5,1,1,2,5,1,1,12,14,17,22,25,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
209,0.125,False,2,4,2333033276,0.0,21.999,10.464,74.426,24.17,43.833,7.914,53.966,32.39,42.814,33.603,38.674,46.337,37.434,68.227,35.01,32.42,95.644,45.32,91.036,397.483,104.006,20.296,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,2.0,3.0,4.0,3.0,3.0,4.0,6.0,3.0,5.0,6.0,4.0,5.0,6.0,3.0,3.0,35.0,7.0,59.0,20.0,12.0,2,5.0,19.0,15.0,8.0,2.0,25,11.0,83.0,0.0,7.0,5.0,11.0,4.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,22,77.6213628701415,6.78733,-0.040475513387834706,10.814643582089548,0.0014629601946169273,-0.33160459211660326,20.421903180138905,-9.620753471935067e-06,0.00433475510598954,-0.5596270322302825,24.15581092390558,75.67263636363637,1.3140937323545976,61.87465217391311,1.2385834274421237,-24.69615824393,148.57549209486172,-0.17459197004368596,6.73823048381823,-69.82818250022282,218.2376881422922,1,1000,2,20,17,18,5,1000,1,4,19,4,4,1,16,15,2,4,3,4,13,2,1,1,22,2,1,2,6,11,12,17,18,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
211,0.6666666666666666,False,0,5,2333033420,0.0,5.841,4.893,41.583,100.63,101.853,36.76,36.807,115.687,290.066,25.62,60.357,103.323,16.404,33.736,32.18,86.847,257.25,55.896,23.743,164.984,120.194,5.176,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,3.0,2.0,3.0,57.0,22.0,7.0,5.0,19.0,14.0,3.0,8.0,20.0,5.0,4.0,3.0,7.0,76.0,8.0,7.0,63.0,52.0,2,14.0,16.0,0.0,34.0,4.0,25,31.0,42.0,26.0,21.0,14.0,31.0,7.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,22,75.25358000116498,4.409820512820521,-0.006685017804699069,5.710056475834481,-4.004975539375224e-05,0.008894337043470561,4.7025915289861775,-1.1721875172255911e-07,2.8347386236360892e-05,-0.001734602209599343,5.044932902273223,78.72495454545454,1.8640739695087536,59.15217786561262,-0.43803529079616016,11.062815076228116,28.489707509881452,0.03984944178628405,-1.6932927070641082,21.363895777982556,12.589780237154143,1,1000,1,1,1,1,4,1,1,3,2,2,4,1,1,3,2,2,3,4,1,1,1,1,2,5,1,1,15,20,23,26,27,1,63.0,14.0,0.0,9.0,5.0,5.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
212,1.0,True,1,11,2333033519,1.0,10.853,1.737,48.56,66.144,15.613,37.737,78.3,72.456,223.013,17.207,103.627,58.173,14.507,67.04,67.276,51.953,82.764,135.357,72.05,284.007,195.32,13.256,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,3.0,2.0,3.0,3.0,3.0,4.0,5.0,6.0,16.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,34.0,15.0,18.0,8.0,47.0,2,5.0,15.0,0.0,6.0,0.0,23,11.0,41.0,10.0,20.0,5.0,11.0,5.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,22,71.13942638652146,8.896113989637314,-0.041076905614016314,12.839496928582872,0.0013765812818012332,-0.3053805117198531,21.253161722952004,-1.1051394522870358e-05,0.0045593829043878995,-0.5491853262888967,25.103290752407684,77.905,4.924801806888763,26.194581027667954,-0.015210403726707879,5.244220285149634,25.129852766798443,0.03911505096733942,-1.2473345091979007,15.35546096020689,9.522947430830026,3,3,1,1,1000,1,3,4,1,3,1,4,4,1,26,2,1,1,3,1,1,4,1,1,4,5,1,4,13,14,19,25,26,1,18.0,6.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
214,1.0,True,2,17,2333033675,1.0,0.0,0.0,28.557,31.293,30.647,21.173,67.144,180.28,258.956,32.953,90.146,101.187,32.026,113.184,81.367,56.66,126.023,123.39,186.927,127.69,114.3,10.927,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1,0.0,0.0,3.0,3.0,3.0,4.0,4.0,5.0,6.0,3.0,6.0,4.0,10.0,5.0,3.0,4.0,41.0,15.0,11.0,11.0,55.0,2,8.0,19.0,7.0,4.0,6.0,24,24.0,29.0,2.0,13.0,8.0,25.0,15.0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,21,64.8834418694081,9.093649999999995,-0.03323005175129383,12.40004014925373,0.00030752468631697866,-0.09442746432837264,14.419554764297335,1.577270775869154e-05,-0.00440062857965244,0.27940305953115036,8.2980138878839,86.17857142857139,3.433188311688311,51.846688311688304,-0.6528774852150147,16.490738015988605,10.497780914737382,0.02305045111681264,-1.3443910187193908,21.889153667546072,2.614526632787683,3,1000,1,1,1,1,1,1000,1,3,1,3,2,1,1000,5,3,1,1,4,1,1,1,1,1000,2,1,1,16,18,22,23,24,4,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.9,1.0,2.0,True,0.0,0.0,0.0,0
216,1.0,True,3,18,2333033861,1.0,3.887,2.83,48.03,31.937,23.747,42.653,53.283,119.727,71.074,28.993,120.213,146.676,22.8,243.087,44.963,71.93,213.933,91.3,76.967,86.95,255.33,6.387,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1,3.0,2.0,5.0,8.0,3.0,4.0,7.0,7.0,2.0,3.0,5.0,8.0,2.0,6.0,7.0,11.0,73.0,16.0,33.0,7.0,136.0,2,5.0,17.0,17.0,4.0,7.0,31,45.0,44.0,6.0,11.0,5.0,48.0,24.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,22,72.6202618236305,5.161991428571422,-0.014609951054994028,7.711427887667886,0.00014859640121101447,-0.0664700950776381,10.719316240981243,-3.0089708543482e-07,0.00030611602543614255,-0.08842839087403798,11.353364232412227,84.63481818181818,5.25935064935065,29.41163636363633,-0.529562182382835,16.380156479390187,-7.657716403162094,-0.03801224949726087,0.6678236767808823,6.553989984348253,7.509171146244965,1,1000,1,1,1,1,1,1000,1,1,1000,1,2,1,26,1000,5,1,1,3,1,3,1,5,1000,2,1,1,16,18,20,20,22,5,39.0,3.0,1.0,1.0,2.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
217,0.0,False,3,4,2333034027,0.0,1.798,1.406,147.597,3.05,3.473,3.583,106.89,29.897,11.987,11.44,4.267,5.217,26.816,4.167,2.31,2.9,178.353,5.34,33.596,369.053,12.28,12.51,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,3.0,2.0,83.0,3.0,3.0,3.0,15.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,163.0,7.0,10.0,38.0,19.0,2,0.0,15.0,0.0,36.0,0.0,23,17.0,149.0,0.0,20.0,0.0,17.0,6.0,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,True,True,False,True,9,85.60423618476402,2.5667454068241393,-0.010034432600030821,4.473287600830003,-1.8348056825650838e-05,-0.00306217100628348,4.03287307682496,9.074888049369949e-07,-0.0005356166756397386,0.07545938682745613,1.5627085145401647,44.33536363636363,3.074718238283457,12.050822134387321,0.41028994918125344,-5.541370694522865,40.771118577075086,-0.010556320643505663,0.7428140494516815,-8.270179580869074,44.983090513833794,2,1000,1,1,1,1,1,1000,1,4,1,5,2,1,1000,1000,3,1,4,5,1,2,1,1,1000,1,1,2,14,18,19,21,23,5,58.0,3.0,6.0,2.0,1.0,1.0,0.0,8.0,0.0,12.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
218,0.0,True,3,9,2333034116,1.0,2.683,8.41,55.386,49.067,17.72,31.837,74.457,45.643,83.353,16.97,38.52,56.014,15.28,88.07,53.806,40.357,58.83,35.973,13.85,51.74,22.86,7.51,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,3.0,2.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,8.0,5.0,3.0,3.0,13.0,41.0,7.0,6.0,7.0,13.0,2,1.0,15.0,1.0,4.0,4.0,23,11.0,37.0,0.0,19.0,1.0,11.0,2.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,20,24.128686453409394,5.98852413793103,-0.0103033380569989,6.730364478034953,0.000883533347009291,-0.1375321400263368,9.762650924970835,9.308257177617736e-07,0.0006824749919727469,-0.12599120428209548,9.626561226391766,39.67595454545454,-0.04049745906267452,40.101177865612605,-0.3316595143986448,6.924352343308865,16.885011857707504,0.000490534636987736,-0.3471113554637588,7.051155546970205,16.68928853754941,1,1000,3,6,4,5,1,1,3,3,5,4,2,1,14,9,1,1,4,2,1,4,3,3,1000,5,1,2,8,11,16,20,23,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
221,0.75,True,2,5,2333034361,1.0,0.0,0.0,76.47,0.0,0.0,0.0,41.42,81.047,85.164,0.0,100.697,161.903,41.947,63.773,0.0,0.0,216.323,129.423,23.823,700.513,70.63,15.623,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1,0.0,0.0,11.0,0.0,0.0,0.0,8.0,55.0,6.0,0.0,56.0,35.0,9.0,3.0,0.0,0.0,193.0,17.0,7.0,116.0,13.0,2,3.0,14.0,0.0,18.0,11.0,16,13.0,26.0,3.0,13.0,3.0,13.0,4.0,0,0,True,0,0,0,True,True,True,0,True,True,True,True,0,0,True,True,True,True,True,True,15,163.99156538521527,3.410662288930587,-0.006483342925266449,5.135231507051457,5.71520147247623e-05,-0.036888214758840014,7.826062664322718,4.4657786974974456e-07,-0.00029921712533553395,0.03887595373355296,4.482963761417077,121.61993333333338,12.037671428571429,37.35623333333331,-0.9365995475113102,25.150065093729776,8.946047058823583,-0.534575917546506,10.289494720965294,-35.57775913955304,67.32173725490196,1,1000,1,1,1,1,1000,1000,1,1000,1,2,3,1,1000,22,1000,3,1000,4,1,1000,2,1000,1000,1,2,2,10,14,16,17,17,10,310.0,13.0,11.0,1.0,11.0,11.0,0.0,19.0,0.0,18.0,9.127,1.0,2.0,True,0.0,0.0,0.0,0
222,0.1,False,3,4,2333034523,0.0,12.777,5.53,16.627,203.296,88.986,113.507,123.356,61.397,86.858,13.96,122.64,21.63,17.65,48.13,91.254,20.733,286.327,71.804,53.996,90.169,225.03,4.303,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1,5.0,2.0,4.0,32.0,75.0,47.0,89.0,11.0,68.0,7.0,67.0,6.0,6.0,33.0,19.0,3.0,249.0,11.0,31.0,38.0,46.0,2,7.0,46.0,3.0,20.0,6.0,30,26.0,63.0,23.0,23.0,7.0,26.0,13.0,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,20,74.17769632332019,2.091609870740298,0.00257190904603678,0.9985485261746738,9.239799839540065e-06,-0.005281920817572274,2.1098654518753555,-1.3254357805611453e-08,2.6139106041694663e-05,-0.011024307715935964,2.515421761837144,92.78986363636363,1.2834901185770777,79.31321739130426,-0.17781253529079627,5.017553359683798,66.86633992094863,0.07273190486096683,-2.468867538411251,23.818750766243728,37.84630988142303,5,20,2,22,1,1,5,1,1,4,1,3,2,1,1000,5,5,2,1,5,1,3,1,3,7,2,1,4,10,14,17,19,24,1,259.0,2.0,0.0,3.0,22.0,24.0,0.0,30.0,1.0,191.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
225,0.7692307692307693,False,0,7,2333034817,0.0,6.204,11.056,140.657,0.0,0.0,4.763,19.273,153.497,88.517,0.0,69.744,41.733,19.856,51.136,0.0,42.39,121.58,113.587,35.776,273.007,84.207,8.417,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4.0,2.0,3.0,0.0,0.0,1.0,4.0,5.0,4.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,94.0,48.0,8.0,60.0,38.0,2,2.0,10.0,1.0,56.0,0.0,19,20.0,105.0,1.0,15.0,2.0,20.0,5.0,True,True,True,0,0,False,False,True,True,0,True,True,True,True,0,True,True,True,True,True,True,True,16,67.50063426194922,4.463194444444454,-0.01591966772361742,6.747666762783543,0.00018612485281831745,-0.06933750048247452,9.293916790955734,-3.6260023567543783e-06,0.0017471188674010776,-0.24822813975413036,13.53513752857709,71.58083333333332,3.480180598555213,41.999298245614035,-0.17564357585139362,6.4661213880289,34.0367894736842,-0.035068111455108596,0.7185932662538763,0.5571446078430906,41.19068421052642,1,20,1,20,17,15,1000,1000,1,4,21,2,1,1,5,19,1000,4,1000,1,8,1000,1,1000,1000,2,1,3,8,10,11,13,14,7,23.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
226,0.1111111111111111,False,1,4,2333034965,0.0,0.0,0.0,115.11,0.0,0.0,0.0,50.136,307.61,150.617,0.0,295.33,250.677,35.173,0.0,0.0,0.0,378.727,0.0,102.243,98.103,0.0,21.59,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,0.0,36.0,0.0,0.0,0.0,13.0,149.0,13.0,0.0,128.0,102.0,8.0,0.0,0.0,0.0,193.0,0.0,106.0,17.0,0.0,7,9.0,6.0,0.0,12.0,0.0,13,11.0,111.0,2.0,10.0,9.0,11.0,4.0,0,0,True,0,0,0,True,True,True,0,True,True,True,0,0,0,True,0,True,True,0,True,12,120.84206889871682,2.339064599483195,-0.002526907198986037,3.3157142318913073,7.708813333830215e-06,-0.008485819906036798,4.082427666865171,5.237609745659601e-08,-5.302127166709278e-05,0.010279786834467888,2.877518488412856,151.128,1.2306993006993083,144.3591538461538,-7.341965034965031,81.99231468531467,9.756461538461512,0.03443045843045551,-7.910067599067548,84.38523154623131,8.052153846154056,3,1000,2,7,3,4,1000,1000,1,1000,6,1000,5,1,1000,29,1000,1000,1000,5,4,1000,1,1000,1000,2,1,3,4,6,9,11,13,12,420.0,16.0,3.0,2.0,19.0,19.0,0.0,34.0,14.0,38.0,5.12,1.0,2.0,True,0.0,0.0,0.0,0
