STUDENTID,sec_spent_VH098519,sec_spent_VH098740,sec_spent_VH098753,sec_spent_VH098759,sec_spent_VH098783,sec_spent_VH098808,sec_spent_VH098810,sec_spent_VH098812,sec_spent_VH134366,sec_spent_VH134373,sec_spent_VH134387,sec_spent_VH139047,sec_spent_VH139196,sec_spent_VH356862,times_entered_VH098519,times_entered_VH098740,times_entered_VH098753,times_entered_VH098759,times_entered_VH098783,times_entered_VH098808,times_entered_VH098810,times_entered_VH098812,times_entered_VH134366,times_entered_VH134387,times_entered_VH139047,num_actions_VH098519,num_actions_VH098740,num_actions_VH098753,num_actions_VH098759,num_actions_VH098783,num_actions_VH098808,num_actions_VH098810,num_actions_VH098812,num_actions_VH134366,num_actions_VH134387,num_actions_VH356862,count_Click Choice,count_Click Progress Navigator,count_DropChoice,count_Eliminate Choice,count_Enter Item,count_Math Keypress,count_Move Calculator,count_Next,count_Open Calculator,count_Receive Focus,count_Vertical Item Scroll,percentile5_BlockRev,percentile5_VH098519,percentile5_VH098740,percentile5_VH098753,percentile5_VH098759,percentile5_VH098783,percentile5_VH098808,percentile5_VH098810,percentile5_VH134366,percentile5_VH134387,percentile5_VH139047,percentile5_VH356862,sec_spent_std,poly_delta_sec_deg0_coeff0,poly_delta_sec_deg1_coeff0,poly_delta_sec_deg1_coeff1,poly_delta_sec_deg2_coeff1,poly_delta_sec_deg3_coeff0,poly_delta_sec_deg3_coeff1,poly_delta_sec_deg3_coeff3,poly_per_item_sec_deg0_coeff0,poly_per_item_sec_deg1_coeff0,poly_per_item_sec_deg2_coeff0,poly_per_item_sec_deg2_coeff1,poly_per_item_sec_deg3_coeff1,poly_per_item_sec_deg3_coeff2,poly_per_item_sec_deg3_coeff3,answer_count_top1,answer_count_unanswered,percentile5_EOSTimeLft,count_Erase,count_Highlight,count_Scratchwork Draw Mode On,count_TextToSpeech,count_Equation Editor Button,count_Clear Scratchwork
2333002923,76.92,43.903,127.814,135.397,52.853,84.563,26.053,54.258,144.016,118.48,47.733,98.254,152.026,12.347,1,3.0,1.0,2.0,1.0,2.0,1,2.0,2.0,1.0,2.0,3,8.0,6.0,9.0,5.0,15.0,10,6.0,47.0,17.0,2,15.0,0.0,20.0,0.0,23,85.0,8.0,18,8.0,26.0,2.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,43.696272086910724,4.761116731517517,-0.012513046047869,6.3627866256447385,-0.02621093669189697,2.4171077701306977e-06,-0.0008746619984019542,4.941029278542464,100.34766666666671,-1.6748464285714297,0.08437144473174252,-2.856046654815825,6.491052377361165,-37.513139699896776,147.94559967320245,11,9,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2333003024,33.91,103.91,176.98,73.157,116.803,95.972,22.004,96.813,230.826,0.0,17.084,213.367,8.598,11.07,1,1.0,1.0,1.0,1.0,2.0,1,1.0,1.0,1.0,1.0,3,18.0,14.0,7.0,7.0,12.0,3,16.0,54.0,7.0,2,9.0,2.0,38.0,3.0,15,26.0,14.0,12,6.0,8.0,26.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,1,73.25694758901145,6.124969387755101,0.010198557642502527,5.1306100176111045,-0.0528674475453899,-5.317232556578495e-06,0.0018787059340191713,9.110850443841235,177.4229230769231,28.141763736263734,4.197483016983021,-22.22803246753252,8.460341408591306,-41.884546162170786,116.54744780219744,7,10,0.0,0.0,0.0,0.0,18.0,0.0,0.0
2333003181,60.324,67.61,105.2,106.724,44.946,56.336,19.936,69.007,274.296,47.33,89.474,217.97,11.36,5.15,1,1.0,1.0,2.0,1.0,2.0,1,1.0,1.0,1.0,2.0,3,4.0,10.0,9.0,3.0,5.0,2,5.0,44.0,35.0,2,13.0,17.0,22.0,0.0,20,21.0,6.0,2,7.0,23.0,4.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,71.0161819479351,6.9541117318435814,-0.023433134559454314,9.039660707635008,-0.07098297733028673,8.436421384399101e-06,-0.0019853905614838113,8.10335961857005,95.10620000000002,0.389867857142857,-1.171375161603101,16.789120119586283,2.31039721144868,-2.0456104317795027,74.95062810457509,11,11,0.0,0.0,0.0,0.0,0.0,10.0,0.0
2333003245,48.93,36.366,63.717,90.054,66.15,73.42,31.803,106.356,149.44,5.76,25.827,98.333,94.464,7.4,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,6,3.0,6.0,7.0,7.0,6.0,6,17.0,48.0,2.0,2,15.0,21.0,8.0,0.0,23,29.0,12.0,1,11.0,13.0,3.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,38.22964454726201,4.994818181818173,-0.0235238837937191,7.829446178961333,-0.013147453277261155,1.5666063898172356e-07,-9.968854927595047e-05,7.306107004566518,65.11140000000002,1.9178390977443598,-0.6911062884483945,15.048858578263854,1.1881497760327233,1.1291759392475742,26.667281987577404,14,3,0.0,2.0,5.0,1.0,2.0,0.0,5.0
2333003695,46.167,68.034,106.74,198.436,0.0,116.593,19.633,0.0,279.21,0.0,64.01,251.144,0.0,12.324,3,1.0,1.0,1.0,0.0,1.0,2,0.0,1.0,1.0,1.0,4,6.0,14.0,7.0,0.0,11.0,7,0.0,53.0,35.0,2,4.0,7.0,8.0,0.0,16,28.0,17.0,4,5.0,8.0,14.0,1.0,1,1.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1,90.11243266223343,7.204874251497008,-0.0532814113597246,11.627231394354144,0.13640157953238635,3.082256000382105e-05,-0.008817486060783444,-0.5117361869171205,94.18425,9.346129370629372,-2.7313059440559413,39.39049475524474,4.732452602952627,7.952239057238938,15.097871794871994,4,16,0.0,3.0,0.0,1.0,0.0,0.0,0.0
2333003776,772.767,3.25,70.163,0.0,0.0,0.0,23.65,0.0,307.27,0.0,15.15,0.0,0.0,11.326,1,0.0,1.0,0.0,0.0,0.0,1,0.0,1.0,1.0,0.0,17,2.0,8.0,0.0,0.0,0.0,3,0.0,84.0,2.0,2,3.0,0.0,0.0,0.0,6,27.0,3.0,5,1.0,5.0,4.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1,264.7079392871953,10.199796610169487,-0.19677863844364363,21.711346959122643,-0.5094017647543667,0.00014180180406528622,-0.022214224080887423,16.689323080345734,71.29300000000002,0.4170714285714254,-8.900309523809536,53.81892857142868,67.91644047619063,-116.88496031746055,76.7514047619048,1,20,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2333003971,50.506,60.88,58.81,40.187,143.637,80.46,37.947,78.35,100.67,69.667,43.273,44.937,139.233,21.143,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,10,16.0,11.0,8.0,13.0,11.0,7,14.0,50.0,22.0,7,12.0,0.0,4.0,5.0,19,59.0,4.0,18,7.0,16.0,13.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,35.145685419502755,4.1123835616438305,0.0010011273739801664,3.9667195287297203,-0.022086149988692454,-2.395116078584085e-07,0.00018388453972597736,5.374673558543518,62.68610526315791,1.0618789473684205,-0.22749926286304048,5.1568656789031495,-0.22512250378620505,5.140210759742505,41.548281613123734,4,3,0.0,0.0,0.0,0.0,111.0,0.0,0.0
2333004276,148.653,38.247,87.013,124.39,106.277,50.977,31.987,177.867,137.317,0.0,178.133,201.196,0.0,10.137,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,31,9.0,6.0,33.0,37.0,9.0,8,4.0,51.0,77.0,2,7.0,0.0,24.0,5.0,12,20.0,26.0,11,21.0,12.0,11.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,61.3601234717811,4.365520270270277,-0.0019941568687331327,4.659658408408407,-0.05801332725751045,3.493200237157013e-06,-0.0013558456120986663,2.96615674872811,98.003,1.7490699300699306,0.6727492507492498,-5.651171828171827,14.263197968697925,-62.895789155288966,141.48819780219776,9,14,0.0,3.0,0.0,6.0,0.0,0.0,3.0
2333004381,23.223,23.804,49.013,23.336,82.39,58.92,26.093,34.347,316.823,76.004,46.517,170.654,39.806,5.18,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,3,3.0,7.0,3.0,5.0,6.0,5,4.0,51.0,8.0,2,15.0,0.0,58.0,2.0,23,27.0,5.0,20,8.0,21.0,4.0,1.0,0,1.0,1.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1,67.11578974344535,5.171599118942728,0.007998764796283737,4.267738696962671,0.012887416315623176,-2.0757087210854297e-06,0.0006820340550349545,5.266571895820017,53.38981818181817,4.159151891586674,-0.20901157538114104,8.548394974590638,2.64482966655769,-14.87122283624073,31.236568774703372,8,4,1.0,0.0,0.0,0.0,2.0,7.0,0.0
2333004578,181.177,74.667,0.0,97.087,0.0,160.71,25.356,0.0,216.173,0.0,0.0,440.993,0.0,4.207,1,1.0,0.0,1.0,0.0,1.0,1,0.0,1.0,0.0,1.0,6,6.0,0.0,81.0,0.0,62.0,2,0.0,93.0,0.0,2,4.0,4.0,48.0,3.0,8,7.0,0.0,3,8.0,5.0,4.0,0.0,1,1.0,0.0,1.0,0.0,1.0,1,1.0,0.0,1.0,1,130.10046903138934,2.362933070866144,-0.0048273038436778,3.5866545952384628,-0.03497881986260677,-3.7804819000761236e-07,0.0003469760942974933,8.5783097248817,148.62587499999998,9.607369047619056,-0.3171488095238092,11.827410714285708,92.25506709956679,-230.62363095237976,205.35225757575682,1,18,0.0,5.0,0.0,2.0,1.0,0.0,14.0
2333004721,54.626,25.099,27.877,79.987,22.497,55.753,18.72,4.133,141.18,84.124,24.777,255.754,54.276,9.187,2,2.0,1.0,2.0,1.0,3.0,2,2.0,1.0,1.0,3.0,10,5.0,9.0,9.0,3.0,11.0,4,5.0,40.0,13.0,2,15.0,28.0,14.0,5.0,30,53.0,12.0,1,10.0,35.0,5.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,57.09891677973848,4.668370370370367,0.0038108469709232312,4.155811452781197,-0.14258707696935669,1.432217712729523e-06,-3.3669646564875965e-05,9.316512006843302,320.7669523809523,-8.239948051948057,-1.6348135457220072,24.456322862492097,-3.4141440359793442,38.346962889767774,279.34387408243884,8,3,0.0,0.0,0.0,0.0,3.0,14.0,0.0
2333005566,25.7,88.324,71.724,109.543,212.147,43.803,15.563,194.123,178.316,0.0,36.193,168.997,47.16,8.414,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,3,7.0,7.0,10.0,114.0,7.0,3,83.0,45.0,9.0,2,8.0,1.0,32.0,2.0,13,27.0,17.0,11,12.0,13.0,6.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,69.97113225978251,3.4482959770114987,-0.015184794676062317,6.082857853308302,-0.039234611345232415,3.306689437581838e-07,-0.00010280535620835324,6.784892250548987,92.13676923076923,-0.30807692307691936,-2.6080529470529488,30.988558441558453,0.28816383616380337,17.633781052281225,47.22752747252722,10,11,0.0,4.0,2.0,6.0,5.0,3.0,4.0
2333005825,184.337,51.69,49.042,151.15,28.024,123.17,9.026,26.523,171.52,85.467,25.36,63.527,122.14,4.907,1,1.0,3.0,1.0,1.0,1.0,1,1.0,1.0,2.0,1.0,92,10.0,14.0,79.0,6.0,33.0,3,3.0,108.0,14.0,2,15.0,2.0,12.0,7.0,22,63.0,4.0,18,5.0,19.0,14.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1,58.93673666430064,2.7954954954954916,0.0050544369717829525,1.675937706245572,-0.018333483666224372,4.783679694696424e-07,-0.0002650811124665112,1.3334834841212166,62.37347368421054,0.781643859649122,0.0029750110570554004,0.7280936606221272,1.4067909412568729,-9.10901648729658,68.21833561175649,14,4,0.0,56.0,3.0,12.0,0.0,0.0,0.0
2333006503,35.933,80.763,157.617,62.284,119.303,46.457,29.764,76.333,169.603,0.0,45.027,252.976,99.48,18.643,1,1.0,1.0,2.0,1.0,1.0,2,1.0,1.0,1.0,2.0,3,23.0,19.0,6.0,3.0,3.0,6,5.0,50.0,13.0,2,13.0,14.0,4.0,0.0,18,28.0,8.0,1,3.0,10.0,23.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,66.43432069732712,7.319408536585363,-0.01483444968917063,8.528416186252771,-0.25359130490011045,-1.7385790514494475e-05,0.0057155917636831045,18.67051921077036,108.53242857142857,5.60367032967033,-2.9288111263736307,43.67821497252752,1.2827012399365,22.57745814234807,14.4901365546215,8,10,0.0,0.0,0.0,0.0,28.0,1.0,0.0
2333008034,32.134,38.443,72.79,79.224,448.696,144.636,40.913,155.224,115.067,0.0,41.03,100.25,0.0,15.963,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,3,3.0,8.0,48.0,50.0,31.0,7,2.0,37.0,8.0,2,9.0,0.0,22.0,0.0,12,24.0,13.0,11,8.0,6.0,5.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,111.75228744402605,5.683053097345126,0.032717544475199166,2.002329343885227,-0.1057933188743809,8.673920624928208e-07,0.0003228590160179174,6.685961932164411,93.92158333333336,-3.89184265734265,-4.142733016983014,41.67822052947051,-21.873175324675277,116.36099267399248,-13.814714285714299,10,11,0.0,6.0,30.0,1.0,2.0,0.0,2.0
2333008239,26.866,42.324,72.704,9.57,101.42,39.793,17.811,55.2,108.446,82.36,45.91,135.11,88.83,6.466,3,1.0,1.0,1.0,1.0,2.0,2,1.0,1.0,2.0,1.0,6,8.0,6.0,3.0,12.0,11.0,9,11.0,45.0,22.0,2,19.0,20.0,6.0,2.0,35,34.0,18.0,12,6.0,26.0,15.0,1.0,0,1.0,1.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1,36.62313815626978,3.072816091954026,-0.01006687667124054,4.8194191944142535,-0.018224346758004852,5.703787121621005e-07,-0.00027337356035252224,4.108539348542793,100.35909090909094,-7.182552230378321,1.1653132411067197,-31.654130293619442,7.30286598710214,-82.02103139964535,335.09015098814217,14,2,1.0,1.0,0.0,2.0,4.0,6.0,3.0
2333008468,34.18,174.766,52.06,109.97,33.157,82.287,10.393,73.1,62.097,101.144,148.123,113.677,109.553,8.103,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,3,80.0,8.0,8.0,6.0,19.0,3,4.0,40.0,7.0,2,9.0,0.0,4.0,4.0,15,46.0,13.0,14,7.0,15.0,15.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1,48.06955456234458,4.562279411764714,-0.0014942323792985813,4.764747899159664,-0.04748486778749524,-2.3540550851495264e-06,0.0011266305338409437,9.151038024834765,79.35000000000002,0.43005357142856965,0.04609397220426879,-0.21526203943119315,5.601206780147922,-30.265777038592947,106.62439542483645,13,8,0.0,6.0,0.0,5.0,1.0,0.0,1.0
2333008484,82.07,33.61,24.764,142.04,19.553,23.603,20.44,34.011,89.623,80.776,26.83,46.087,61.236,6.733,1,1.0,1.0,1.0,1.0,1.0,1,2.0,1.0,1.0,1.0,21,10.0,4.0,66.0,4.0,10.0,4,5.0,42.0,20.0,2,18.0,26.0,4.0,3.0,30,46.0,11.0,1,11.0,11.0,14.0,1.0,1,1.0,1.0,1.0,0.0,0.0,1,1.0,1.0,1.0,1,34.67200707277479,2.5581714285714283,-0.005502769413229253,3.6147031559114438,0.006953093330471496,-4.2012238955197147e-07,0.00020955335382021487,3.9997593028937315,81.73127272727272,2.5231654432524024,-0.7049183370976844,17.32645052230378,2.4168270082320484,-8.29168191476721,45.43585968379453,18,2,1.0,7.0,0.0,5.0,0.0,0.0,0.0
2333008492,32.24,56.027,79.463,149.774,27.007,97.36,30.647,59.34,120.853,172.893,54.4,192.403,161.303,7.87,1,2.0,1.0,1.0,1.0,1.0,1,1.0,2.0,1.0,1.0,3,8.0,11.0,12.0,3.0,5.0,5,3.0,46.0,7.0,2,10.0,1.0,8.0,0.0,16,61.0,20.0,14,8.0,15.0,6.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,58.57934445254398,6.82186813186813,-0.02575234366213441,9.152455233291295,-0.2476488798000286,8.893491687583926e-06,-0.0011886352797100053,13.216089182753851,86.57407142857143,3.7760593406593395,-0.6228695054945051,11.873362912087902,3.60555897044126,-9.312147964779967,64.44016386554571,13,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2333008565,69.693,45.337,126.75,137.4,153.953,124.097,26.927,183.16,109.616,0.0,108.924,69.843,61.23,6.033,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,3,5.0,10.0,9.0,6.0,3.0,3,9.0,36.0,56.0,2,8.0,0.0,4.0,2.0,13,23.0,9.0,12,7.0,6.0,6.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,50.173288479431335,7.993222222222218,-0.015437876107380746,9.166500806383159,-0.5035354551518163,1.8753862387701335e-05,-0.0010647123412088233,18.22200000758255,91.14130769230772,-4.516351648351647,-2.69419180819181,27.813950049950062,-2.402557192807215,26.46919043456555,60.03652472527455,8,10,0.0,9.0,0.0,1.0,0.0,0.0,0.0
2333008646,83.817,38.82,135.28,101.643,254.203,56.047,19.253,225.337,170.01,0.0,58.02,49.72,0.0,10.08,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,22,6.0,33.0,59.0,81.0,25.0,3,100.0,106.0,24.0,2,15.0,0.0,10.0,7.0,12,23.0,30.0,11,12.0,10.0,9.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,76.63176214080919,2.531010526315783,-0.0011647794467553863,2.807063255196817,-0.0003437632118468127,-3.970794097801033e-07,0.0002805913585922426,4.8433533575020355,99.82608333333337,-3.640479020979015,-3.3792644855144824,33.5314303196803,0.25972910422911155,18.203548229548186,68.81251648351649,6,13,0.0,4.0,0.0,5.0,0.0,1.0,2.0
